,시작금액,현재금액,구매가격,수익,총구매액,수익률
KRW-BTC,616071.85,616071.85,0,0,0,0
KRW-HUNT,616071.85,616071.85,0,0,0,0
KRW-TON,616071.85,616071.85,0,0,0,0
KRW-CRO,616071.85,616071.85,0,0,0,0
KRW-JST,616071.85,616071.85,0,0,0,0
KRW-BORA,616071.85,616071.85,0,0,0,0
KRW-XTZ,616071.85,616071.85,0,0,0,0
KRW-LINK,616071.85,616071.85,0,0,0,0
KRW-AHT,616071.85,616071.85,0,0,0,0
KRW-KAVA,616071.85,616071.85,0,0,0,0
KRW-HIVE,616071.85,616071.85,0,0,0,0
KRW-DKA,616071.85,616071.85,0,0,0,0
KRW-STMX,616071.85,616071.85,0,0,0,0
KRW-CHZ,616071.85,616071.85,0,0,0,0
KRW-VET,616071.85,616071.85,0,0,0,0
KRW-ORBS,616071.85,616071.85,0,0,0,0
KRW-STPT,616071.85,616071.85,0,0,0,0
KRW-MLK,616071.85,616071.85,0,0,0,0
KRW-MED,616071.85,616071.85,0,0,0,0
KRW-HBAR,616071.85,616071.85,0,0,0,0
KRW-WAXP,616071.85,616071.85,0,0,0,0
KRW-MBL,616071.85,616071.85,0,0,0,0
KRW-CRE,616071.85,616071.85,0,0,0,0
KRW-TT,616071.85,616071.85,0,0,0,0
KRW-ATOM,616071.85,616071.85,0,0,0,0
KRW-SXP,616071.85,616071.85,0,0,0,0
KRW-PLA,616071.85,616071.85,0,0,0,0
KRW-ANKR,616071.85,616071.85,0,0,0,0
KRW-DOT,616071.85,616071.85,0,0,0,0
KRW-AAVE,616071.85,616071.85,0,0,0,0
KRW-NU,616071.85,616071.85,0,0,0,0
KRW-MATIC,616071.85,616071.85,0,0,0,0
KRW-SOL,616071.85,616071.85,0,0,0,0
KRW-XEC,616071.85,616071.85,0,0,0,0
KRW-STX,616071.85,616071.85,0,0,0,0
KRW-AXS,616071.85,616071.85,0,0,0,0
KRW-DAWN,616071.85,616071.85,0,0,0,0
KRW-FLOW,616071.85,616071.85,0,0,0,0
KRW-PUNDIX,616071.85,616071.85,0,0,0,0
KRW-STRK,616071.85,616071.85,0,0,0,0
KRW-DOGE,616071.85,616071.85,0,0,0,0
KRW-HUM,616071.85,616071.85,0,0,0,0
KRW-SAND,616071.85,616071.85,0,0,0,0
KRW-CBK,616071.85,616071.85,0,0,0,0
KRW-FCT2,616071.85,616071.85,0,0,0,0
KRW-META,616071.85,616071.85,0,0,0,0
KRW-SSX,616071.85,616071.85,0,0,0,0
KRW-GLM,616071.85,616071.85,0,0,0,0
KRW-AQT,616071.85,616071.85,0,0,0,0
KRW-STRAX,616071.85,616071.85,0,0,0,0
KRW-MVL,616071.85,616071.85,0,0,0,0
KRW-SRM,616071.85,616071.85,0,0,0,0
KRW-AERGO,616071.85,616071.85,0,0,0,0
KRW-MANA,616071.85,616071.85,0,0,0,0
KRW-ETH,616071.85,616071.85,0,0,0,0
KRW-TRX,616071.85,616071.85,0,0,0,0
KRW-ICX,616071.85,616071.85,0,0,0,0
KRW-BTG,616071.85,616071.85,0,0,0,0
KRW-POWR,616071.85,616071.85,0,0,0,0
KRW-SBD,616071.85,616071.85,0,0,0,0
KRW-ADA,616071.85,616071.85,0,0,0,0
KRW-REP,616071.85,616071.85,0,0,0,0
KRW-GRS,616071.85,616071.85,0,0,0,0
KRW-STORJ,616071.85,616071.85,0,0,0,0
KRW-ARK,616071.85,616071.85,0,0,0,0
KRW-ARDR,616071.85,616071.85,0,0,0,0
KRW-XLM,616071.85,616071.85,0,0,0,0
KRW-STEEM,616071.85,616071.85,0,0,0,0
KRW-LSK,616071.85,616071.85,0,0,0,0
KRW-QTUM,616071.85,616071.85,0,0,0,0
KRW-XEM,616071.85,616071.85,0,0,0,0
KRW-WAVES,616071.85,616071.85,0,0,0,0
KRW-SNT,616071.85,616071.85,0,0,0,0
KRW-OMG,616071.85,616071.85,0,0,0,0
KRW-ETC,616071.85,616071.85,0,0,0,0
KRW-XRP,616071.85,616071.85,0,0,0,0
KRW-LTC,616071.85,616071.85,0,0,0,0
KRW-MTL,616071.85,616071.85,0,0,0,0
KRW-NEO,616071.85,616071.85,0,0,0,0
KRW-EOS,616071.85,616071.85,0,0,0,0
KRW-SC,616071.85,616071.85,0,0,0,0
KRW-TFUEL,616071.85,616071.85,0,0,0,0
KRW-ONT,616071.85,616071.85,0,0,0,0
KRW-ENJ,616071.85,616071.85,0,0,0,0
KRW-MOC,616071.85,616071.85,0,0,0,0
KRW-BTT,616071.85,616071.85,0,0,0,0
KRW-QKC,616071.85,616071.85,0,0,0,0
KRW-THETA,616071.85,616071.85,0,0,0,0
KRW-BSV,616071.85,616071.85,0,0,0,0
KRW-KNC,616071.85,616071.85,0,0,0,0
KRW-ELF,616071.85,616071.85,0,0,0,0
KRW-UPP,616071.85,616071.85,0,0,0,0
KRW-GAS,616071.85,616071.85,0,0,0,0
KRW-ONG,616071.85,616071.85,0,0,0,0
KRW-MFT,616071.85,616071.85,0,0,0,0
KRW-IOTA,616071.85,616071.85,0,0,0,0
KRW-IQ,616071.85,616071.85,0,0,0,0
KRW-CVC,616071.85,616071.85,0,0,0,0
KRW-RFR,616071.85,616071.85,0,0,0,0
KRW-IOST,616071.85,616071.85,0,0,0,0
KRW-BAT,616071.85,616071.85,0,0,0,0
KRW-BCH,616071.85,616071.85,0,0,0,0
KRW-LOOM,616071.85,616071.85,0,0,0,0
KRW-ZRX,616071.85,616071.85,0,0,0,0
KRW-POLY,616071.85,616071.85,0,0,0,0
KRW-ZIL,616071.85,616071.85,0,0,0,0
KRW-1INCH,616071.85,616071.85,0,0,0,0
