,현재 구매액,수익,총 구매액,수익률
KRW-SSX,0,14,155867,0.01
KRW-ICX,55181,0,55181,0.0
KRW-ETC,45786,-63,511511,-0.01
KRW-DOT,45786,-21,205646,-0.01
KRW-ETH,0,-16,81083,-0.02
KRW-FLOW,0,-39,165608,-0.02
KRW-AXS,0,-59,296529,-0.02
KRW-BTC,45786,-55,382885,-0.02
KRW-SRM,0,-38,192604,-0.02
KRW-MED,0,-61,195873,-0.03
KRW-ADA,65060,-50,146413,-0.03
KRW-SOL,0,-76,246021,-0.03
KRW-EOS,70600,-47,190315,-0.03
KRW-BCH,0,-93,313022,-0.03
KRW-THETA,0,-91,237363,-0.04
KRW-QTUM,45786,-93,237992,-0.05
KRW-NEO,0,-24,50266,-0.05
KRW-LTC,110846,-91,218989,-0.05
KRW-QKC,0,-31,48134,-0.06
KRW-BTG,0,-47,77772,-0.06
KRW-MATIC,0,-50,81543,-0.06
KRW-HUM,0,-47,64956,-0.07
KRW-HUNT,0,-85,77308,-0.11
KRW-ARK,0,-158,149080,-0.11
KRW-MVL,0,-79,64956,-0.12
KRW-XRP,0,-66,54711,-0.12
KRW-IOST,0,-108,91135,-0.12
KRW-STRK,0,-243,206718,-0.12
KRW-BTT,65060,-141,118471,-0.12
KRW-UPP,0,-115,85403,-0.13
KRW-AHT,0,-92,67300,-0.14
KRW-XTZ,0,-124,91768,-0.14
KRW-CBK,0,-65,42750,-0.15
KRW-PLA,0,-67,44496,-0.15
KRW-TON,0,-39,26832,-0.15
KRW-POWR,0,-125,82875,-0.15
KRW-ATOM,0,-192,122324,-0.16
KRW-DAWN,0,-23,13988,-0.16
KRW-IOTA,0,-90,51646,-0.17
KRW-CHZ,0,-72,38000,-0.19
KRW-CVC,0,-113,60021,-0.19
KRW-KAVA,0,-51,26832,-0.19
KRW-GRS,0,-270,94801,-0.28
KRW-ONT,27056,-208,71552,-0.29
KRW-WAXP,0,-80,24814,-0.32
KRW-TFUEL,0,-69,21306,-0.32
KRW-SC,0,-195,60047,-0.32
KRW-ELF,0,-31,9755,-0.32
KRW-PUNDIX,0,-178,56002,-0.32
KRW-GAS,0,-139,42750,-0.33
KRW-STEEM,0,-613,180921,-0.34
KRW-POLY,0,-150,38379,-0.39
KRW-ONG,0,-201,50834,-0.4
KRW-MLK,0,-208,50968,-0.41
KRW-STRAX,0,-233,53411,-0.44
KRW-ZRX,0,-96,21306,-0.45
KRW-IQ,0,-57,11982,-0.48
KRW-XEM,0,-331,65060,-0.51
KRW-FCT2,0,-61,11982,-0.51
KRW-STPT,0,-73,12986,-0.56
KRW-STMX,0,-73,12986,-0.56
KRW-MOC,0,-252,44496,-0.57
KRW-AERGO,0,-295,50968,-0.58
KRW-DKA,0,-315,50968,-0.62
KRW-TT,0,-248,38379,-0.65
KRW-MFT,0,-374,56466,-0.66
KRW-STORJ,0,-287,42045,-0.68
KRW-NU,0,-839,113527,-0.74
KRW-CRE,0,-160,21668,-0.74
KRW-MBL,0,-183,21668,-0.84
KRW-ZIL,0,-455,50834,-0.9
KRW-JST,0,-528,50834,-1.04
KRW-META,0,-856,82013,-1.04
KRW-LINK,45786,-27056,261777,-12.53
KRW-ORBS,0,-16332,110073,-14.84
KRW-BSV,45786,-50266,340660,-17.05
KRW-ENJ,45786,-38341,138838,-41.2
KRW-BORA,0,-55362,106196,-52.13
KRW-SXP,66397,-92879,159276,-58.31
KRW-STX,0,-142939,208150,-68.67
KRW-HBAR,0,-55181,67163,-82.16
KRW-SAND,0,-16332,16332,-100.0
KRW-LSK,0,-50968,50968,-100.0
KRW-REP,0,-56466,56466,-100.0
KRW-MANA,0,-11982,11982,-100.0
KRW-OMG,0,-38379,38379,-100.0
KRW-TRX,0,-42045,42045,-100.0
KRW-XLM,0,-152353,152353,-100.0
KRW-VET,0,-38379,38379,-100.0
KRW-KNC,0,-38379,38379,-100.0
KRW-ARDR,0,-50968,50968,-100.0
KRW-MTL,0,0,0,
KRW-SNT,0,0,0,
KRW-WAVES,0,0,0,
KRW-SBD,0,0,0,
KRW-LOOM,0,0,0,
KRW-BAT,0,0,0,
KRW-RFR,0,0,0,
KRW-ANKR,0,0,0,
KRW-HIVE,0,0,0,
KRW-CRO,0,0,0,
KRW-AQT,0,0,0,
KRW-GLM,0,0,0,
KRW-DOGE,0,0,0,
KRW-XEC,0,0,0,
